val,City name,City name (CDP),City name (carbonn),City name (PKU),City name (GEA),City name (UITP),City name (WB),Definition (CDP),Definition (carbonn),Definition (WB),Study year (WB),Reporting year (CDP),Scope-1 GHG emissions [tCO2 or tCO2-eq],Scope-1 source dataset,Scope-1 GHG emissions units,Year of emission,Emissions protocol,Gases included (CDP),Methodology details (CDP),Increase/Decrease from last year (CDP),Reason for increase/decrease in emissions (CDP),Scope-2 (CDP) [tCO2-eq],Total emissions (CDP) [tCO2-eq],CDP2016 data edited (CDP),Emissions Quality Flag (CDP),S1 lower bound [tCO2] (CDP),S1 upper bound [tCO2] (CDP),S1 mean (CDP) [tCO2],TOT lower bound [tCO2] (CDP),TOT upper bound [tCO2] (CDP),TOT mean (CDP) [tCO2],Scope fraction (CDP),CO2 emissions per capita (PKU) [tCO2/capita],City location (CDP) [degrees],Latitude (others) [degrees],Longitude (others) [degrees],Coordinate source (others),Country,Region,Population (CDP),Population year (CDP),Population (carbonn),Population year (carbonn),Urban population (PKU),Population (GEA),Population (UITP),Population (WB),Population year (WB),Population (others),Population year (others),Population source (others),Population 1950 (WB),Population 1990 (WB),Population 2010 (WB),Population growth rate 1950-2010 (WB) [people/60years],Population growth rate 1990-2010 (WB) [people/20years],Ancillary from GEA+,City area (CDP) [km2],City area (GEA) [km2],City area (WB) [km2],Built-up area (PKU) [km2],City area (others) [km2],City area source year (others),City area source (others),Population density (GEA) [people/km2],Population density (UITP) [people/km2],Population density (WB) [people/km2],Population/sqrt(area) (GEA) [people/km],Population/sqrt(area) (WB) [people/km],Average altitude [m],Average annual temperature (CDP) [degrees Celsius],Weather station ID (GEA+),CDD 23C (GEA+) [degrees C × days],HDD 15.5C (GEA+) [degrees C × days],HDD 15.5C (clim) [degrees C × days],CDD 23C (clim) [degrees C × days],GDP (CDP) [multiple units],GDP unit (CDP),GDP year (CDP),GDP source (CDP),GDP (carbonn) [multiple units],nGDP (carbonn) [multiple units],GDP unit (carbonn),GDP year (carbonn),GDP (PKU) [10000 RMB],Income per capita (PKU) [RMB/capita],GDP-PPP (others) [$BN],GDP-PPP/capita (others) [USD/capita],GDP-PPP source (others),GDP-PPP year (others),nGDP (others) [$BN],nGDP/capita (others) [USD/capita],nGDP source (others),nGDP year (others),GDP-PPP/capita (GEA) [USD/year],GDP-PPP/capita (UITP) [USD/year],GDP-PPP/capita (WB) [USD/year],Total final consumption per capita (GEA) [GJ/capita/yr],Energy per capita CO2 (WB) [tCO2-eq/capita/yr],Diesel price (GEA+) [USD/liter],Gasoline price (GEA+) [USD/liter],Center of commerce index (GEA+) [dimensionless],Household size (GEA+) [people/household],Household size year (GEA+),Household source (GEA+),Household size comment (GEA+),Urbanization ratio (GEA+) [percent],Water bounded (GEA+),Other bounded (GEA+),Mean one-way travel time (others) [minutes],Mean one-way travel time year (others),Mean one-way travel time source (others),Diesel price 2014 (others) [USD/liter],Gasoline price 2014 (others) [USD/liter],Household size (others) [people/household],Household size year (others),Household size source (others),Household size comment (others),Congestion rank (INRIX) [dimensionless],Peak hours spent in congestion (INRIX) [hours],INRIX congestion index (INRIX) [dimensionless],Average congestion rate (INRIX) [percent],Congestion rank (TomTom) [dimensionless],Congestion level (TomTom) [× 100 percent],Congestion change (TomTom) [× 100 percent],Morning peak (TomTom) [percent],Evening peak (TomTom) [percent],Economy (IESE) [dimensionless],Environment (IESE) [dimensionless],Governance (IESE) [dimensionless],Human capital (IESE) [dimensionless],International impact (IESE) [dimensionless],Mobility and transportation (IESE) [dimensionless],Public management (IESE) [dimensionless],Social cohesion (IESE) [dimensionless],Technology (IESE) [dimensionless],Urban planning (IESE) [dimensionless],CIMI (IESE) [dimensionless],CIMI ranking (IESE) [dimensionless],CIMI performance (IESE) [dimensionless],Urban area name (UEX),Low BUA - 1990 (UEX) [km2],Low BUA - 2000 (UEX) [km2],Low BUA - 2014 (UEX) [km2],High BUA - 1990 (UEX) [km2],High BUA - 2000 (UEX) [km2],High BUA - 2014 (UEX) [km2],Low BUA % - 1990 (UEX) [percent],Low BUA % - 2000 (UEX) [percent],Low BUA % - 2014 (UEX) [percent],High BUA % - 1990 (UEX) [percent],High BUA % - 2000 (UEX) [percent],High BUA % - 2014 (UEX) [percent],Low BUA population density - 1990 (UEX) [people/km2],High BUA population density - 1990 (UEX) [people/km2],Low BUA population density - 2000 (UEX) [people/km2],High BUA population density - 2000 (UEX) [people/km2],Low BUA population density - 2014 (UEX) [people/km2],High BUA population density - 2014 (UEX) [people/km2],Exports (others) [m3],Production (others) [m3],Natgas Export/Production ratio (others),CH4_waste/capita (others) [tCH4/capita],CH4_waste+natgas/capita (others) [tCH4/capita],Corrected CH4_(waste+natgas)/capita (others) [tCH4/capita],Year from CIA (others),AQF (CDP/GEA),AQF (CDP/WB),AQF (CDP/OTHERS),AQF (PKU/GEA),AQF (PKU/WB),AQF (PKU/OTHERS),PQF (CDP),PQF (carbonn),PQF (WB),PQF (WB2010),PQF (OTHERS),HQF (GEA+),HQF (OTHERS)
179,Luoyang,,,Luoyang,,,,,,,,,2534080.92912,PKU,tCO2,2010,Other,,,,,,,,,,,,,,,,0.877344,,34.6697222222,112.442222222,wikipedia,China,East Asia,,,,,2888355,,,,,1926079,,"wikipedia, urban values",,,,,,,,,,193.6,810.4,,"(urban), from wikipedia",,,,,,,,,,,1887,234,,,,,,,,,7262821,31587.96,,,,2008,12,6230.52959502,[19],,,,,,,,,,,,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,Luoyang Urban Area,145.1875,174.5,227.625,150.8125,182.875,233.3125,0.490498310810811,0.488282616299405,0.493830508474576,0.509501689189189,0.511717383700595,0.506169491525424,2766.96246658037,11750.892073984,2793.2284834347,10743.9874404208,1706.4421699289,9358.51096253864,,,,,,,,,,,,,0,,,,,,,
180,Lyon,,Lyon Metropolis,,Lyon,Lyon,,,Independent intercommunality,,,,7191700,carbonn,tCO2-eq,2010,Community,,,,,,,,,,,,,,,,,,45.7454,4.84195,carbonn,France,Europe,,,1324637,2012,,1267086,1152259,,,1354476,2014,Wikipedia,,,,,,1,,954.19,,,533.68,2014,Wikipedia,1327.91791991113,4742,,41019.3394079977,,,,LFLY,136,1760,2143,16,,,,,726491000000,843110059023.719,USD,1971,,,,,,,87.80433,45554.7075718774,[24],2012,39792.8215171155,41622.16,,135.85,,1.45,1.52,,1.99,2009,http://www.recensement.insee.fr/home.action,Calculation: pop/household (479787/240595),81.555,0,"River, Mountains",,,,1.63,1.79,,,,,186,29,4.9,8.4%,87,0.29,0.03,55%,55%,,,,,,,,,,,,,,Lyon Urban Area,246.1875,257.8125,262.4375,469.5625,495.4375,519.625,0.34395738735592,0.342266843677398,0.3355710061536,0.65604261264408,0.657733156322602,0.6644289938464,1008.51154503222,3549.28371063878,169.272653753005,2742.38776829463,175.654618905579,2857.74136942317,,,,,,,,,,,,,,,1,,,1,1,
181,Madrid,Ayuntamiento de Madrid,,,Madrid,Madrid,,Administrative boundary of a local government,,,,2016,6795577,CDP,tCO2-eq,2013,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O; HFCs; PFCs; SF6,,Decreased,"Indirect (Scope 2 + Scope 3) emissions decreased by 24,86% in 2013 in comparison to 2012, whereas electricity consumption decreased by 5,19 % in that period. This trend is explained by a decrease of 24,86 % in the electricity EF, as a result of the increasing penetration of renewable energy  in the national electricity mix.",3250803,10257048,,A,5550192.46823987,5644411.40253136,5597301.93538561,9011663.46823987,9105882.40253136,9058772.93538561,0.979461147105873,,"(40.1076253, -3.3875673)",40.383,-3.716667,https://en.wikipedia.org/wiki/Madrid,Spain,Europe,3156572,2015,,,,5720000,5181659,,,3207247,2013,(Municipality City) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-155,,,,,,1,604,,,,605.77,,"(Municipality City), https://en.wikipedia.org/wiki/List_of_cities_proper_by_population",5390,8585,,,,655,15,LEMD,381,1495,1341,42,125948386,EUR     Euro,2014,Contabilidad Municipal Trimestral. Ciudad de Madrid. Base 2010. Serie 2000-2015,,,,,,,262.335,39288,[1],2014,259,40348.9640130862,[19],,34725.0377311547,17568.39,,74.7881057202797,,1.28,1.23,58.34,2.7,2004,http://www.urbanaudit.org,,76.701,0,,31.21,2011,,1.55,1.63,2.5,2014,eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en],,80,40,7.7,12.7%,112,0.25,0.02,48%,43%,57,52,48,43,15,6,50,66,59,31,77,28,RA,Ayuntamiento de Madrid Urban Area,415.6875,409.875,402.375,623.9375,779.4375,904.75,0.399843693639533,0.344631877660413,0.307832074208664,0.600156306360466,0.655368122339587,0.692167925791336,960.59002462174,8374.76405420518,535.526667144614,6060.83515288673,514.764029551624,6263.73053752523,0,1,0,0.0130245903,0.0140906081,0.0140906081,,,,1,,,,1,,,,1,1,1
182,Magdeburg,Landeshauptstadt Magdeburg,,,,,,A metropolitan area,,,,2016,,CDP,tCO2,2012,Other,CO2,Software ECORegion smart from the Climate Alliance,,,,1400000,,D,,,,,,,,,"(52.08889, 11.586164)",52.133,11.616667,https://en.wikipedia.org/wiki/Magdeburg,Germany,Europe,238000,2015,,,,,,,,235723,2015,https://en.wikipedia.org/wiki/Magdeburg#cite_note-1,,,,,,,201.8,,,,200.95,,https://en.wikipedia.org/wiki/Magdeburg,,,,,,56,9.7,,,,2362,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.6,2012,,1.58,1.8,1.8,2012,eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en],,591,13,2.4,5.2%,,,,,,,,,,,,,,,,,,,Landeshauptstadt Magdeburg Urban Area,30.125,37.0625,38,79.3125,86.8125,92.6875,0.275271273557967,0.299192734611504,0.290769966523195,0.724728726442033,0.700807265388496,0.709230033476805,336.953461400428,3454.81842957227,288.453576108984,2644.40227146574,235.589048374571,2555.81086458295,8810000000,22220000000,0.4,0.0079727498,0.0111077293,0.0098647424,2004,,,1,,,,1,,,,1,,1
183,Makati,City Government of Makati,,,,,,Administrative boundary of a local government,,,,2016,462586,CDP,tCO2-eq,2011,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O,"Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol. *GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'.",Increased,"Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons: a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained. b. With the increasing population, waste generation also increases. c. Increased construction and development projects are also observed leading to increased in the demand for energy. d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.",1197784,1660370,,A,338124.01314557,348620.651608776,343372.332377173,1535908.01314557,1546404.65160878,1541156.33237717,1,,"(14.559004, 121.081632)",14.55,121.03,https://en.wikipedia.org/wiki/Makati,Philippines,Southeast Asia,529039,2010,,,,,,,,582602,2015,https://en.wikipedia.org/wiki/Makati#cite_note-PSA15-13-3,,,,,,,27.4,,,,21.73,2013,https://en.wikipedia.org/wiki/Makati#cite_note-arearef1-1;  https://en.wikipedia.org/wiki/Makati#cite_note-arearef2-2,,,,,,,,,,,0,1037,,PHP     Philippine Peso,2015,Budget of Expenditures and Sources of Financing NEDA,,,,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,0.82,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,see: Manila Urban Area,,,,,,,,,,,,,,,,,,,0,1,0,0.0076935557,0.0084021612,0.0084021612,,,,1,,,,1,,,,1,,
184,Malang,,City of Malang,,,,,,Municipality,,,,775422,carbonn,tCO2-eq,2017,Community - GPC,,,,,,,,,,,,,,,,,,-7.969634,112.633156,carbonn,Indonesia,Southeast Asia,,,881794,,,,,,,887443,2016,Wikipedia,,,,,,,,,,,145.28,2016,Wikipedia,,,,,,,,,,,0,489,,,,,51827980000,60147601659.0434,USD,2017,,,,,,,60.1476016590434,,"carbonn, scaled to $BN USD",,,,,,,,,,,,,,,,,,,,0.8,0.93,,,,,85,39,9.1,20.4%,,,,,,,,,,,,,,,,,,,Malang Urban Area,540.9375,629.0625,683.4375,223.0625,315.5,368.375,0.708033376963351,0.665982928604513,0.649771228236972,0.291966623036649,0.334017071395487,0.350228771763028,5354.23835692036,32572.7770399306,1070.02959716558,8209.17281258125,962.179234018015,7690.11796478178,,,,,,,,,,,,,,,,,,1,,
185,Manchester,Greater Manchester,,,Manchester,Manchester,,A metropolitan area,,,,2016,9587290,CDP,tCO2-eq,2013,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,"A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.",Decreased,"Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport",5302028,14889318,S1 derived from TOT - S2 in CDP2016 dataset,C,7730420.1820808,8184704.3358448,7957562.2589628,13032448.1820808,13486732.3358448,13259590.2589628,1,,"(53.4575955, -2.1578377)",53.467,-2.233333,https://en.wikipedia.org/wiki/Manchester,United Kingdom,Europe,2762000,2014,,,,2553300,2578300,,,2547700,2001,(Greater Manchester) https://en.wikipedia.org/wiki/Demography_of_Greater_Manchester (census),,,,,,1,1277,,,,1280,,(Greater Manchester Larger Urban Zone) https://en.wikipedia.org/wiki/Demography_of_Greater_Manchester,2001.018809,5157,,,,250,9.5,EGCC,2,2227,2020,0,87773000000,,2013,UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure,,,,,,,92.26,35029,[1],2014,82,31696.9462698106,[19],,30938.2217517221,14491.27,,89.6528245483638,,1.65,1.44,,2.24,2004,http://www.urbanaudit.org,,79.007,0,Mountains,42.9,2008,survey (ref??) http://www.telegraph.co.uk/motoring/news/3122428/Birmingham-worst-place-for-commuting-survey.html,1.99,1.92,2.32,2009,"AGMA Association of Greater Manchester Authority, Update Report May 2010, https://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwj9pP_ni-PUAhUMB8AKHZiiCHYQFggiMAA&url=http%3A%2F%2Fwww.manchester.gov.uk%2Fdownload%2Fdownloads%2Fid%2F14074%2Fgm_strategic_housing_market_assessment_shma_update_may_2010.pdf&usg=AFQjCNEDN9v51JM_Z_StiuQjckb6G_WpvQ",,82,39,6.7,9.9%,39,0.38,0.01,68%,79%,52,73,22,25,103,125,63,37,100,76,68.59,57,RA,Greater Manchester Urban Area,513.75,556.4375,619.875,1155.6875,1191.5625,1248.3125,0.307738384935045,0.318328089244851,0.331805560202068,0.692261615064955,0.681671910755149,0.668194439797932,336.69987777681,4293.2338418773,465.270862418396,3489.28421692642,387.760414609246,3605.30173754292,10550000000,40990000000,0.26,0.0181362582,0.0260463068,0.0240104197,,,,1,,,,1,,,,0,1,1
186,Melbourne,City of Melbourne,,,Melbourne,Melbourne,,Administrative boundary of a local government,,,,2016,785326,CDP,tCO2-eq,2015,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O; HFCs; PFCs; SF6,"City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. Electricity, gas and water data was provided directly by the utility companies. Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.",Decreased,"2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.",3587094,4372420,,A,655280.79596414,678018.796639157,666649.796301648,4242374.79596414,4265112.79663916,4253743.79630165,1,,"(-37.814107, 144.96328)",-37.814,144.963056,https://en.wikipedia.org/wiki/Melbourne,Australia,Oceania,137889,2016,,,,3892419,3138147,,,138000,2016,http://www.c40.org/cities/melbourne,,,,,,1,38,2640.35,,,38,2016,http://www.c40.org/cities/melbourne,1474.20569242714,1368,,75751.0808313093,,31,15,94868,177,685,1176,62,90600000000,AUD     Australian Dollar,2015,http://melbourne.geografia.com.au/,,,,,,,178.392,40244,[1],2014,221.4,54344.6244477172,"[3], [19]",,37077.7971833508,21475.54,,123.344891698453,,0.94,0.74,49.93,2.7,2011,http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/1GSYD?opendocument&navpos=220#householdcomposition,,88.182,1,,37.32,2014-2017,https://www.numbeo.com/traffic/in/Melbourne [BASED ON 81 CONTRIBUTORS],1.28,1.23,2.1,2011,"http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/CED231?opendocument&navpos=220 [Commonwealth Electoral Divisions, population 177,632]",,,,,,58,0.33,0.04,55%,58%,26,60,5,38,50,22,23,28,29,15,82.06,14,RA,City of Melbourne Urban Area,568.375,573.9375,547.3125,1625.25,1686.625,1804.1875,0.259103082796741,0.253891454007576,0.232750372102913,0.740896917203259,0.746108545992424,0.767249627897087,197.689246828272,2117.2610551877,147.029399654286,1779.15156266958,92.1690297245049,2118.04496721947,31610000000,62640000000,0.5,0.0277933709,0.039682077,0.0336826837,,0,,1,,,,1,,,,1,1,1
187,Mexico City,Mexico City,,,Mexico City,,Mexico City ,"Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area",,City ,2000,2016,16842493.45,CDP,tCO2-eq,2014,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",CO2; CH4; N2O; HFCs,"Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City",Decreased,"Emissions Inventory has a reduction of  4% due to: • Lower consumption of fossil fuels in the residential sector • Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory it´s 0.49 t CO2 /Mwh. • The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014. • Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the Secretaría de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% • On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.; because of that, the 2014 emissions are bigger than 2012. •For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014.",6812617.51,23655110.96,,A,12529046.6333425,14883902.5592124,13706474.5962774,19341664.1433425,21696520.0692124,20519092.1062774,1,,"(19.4326077, -99.133208)",19.433,-99.133333,https://en.wikipedia.org/wiki/Mexico_City,Mexico,Latin America & Caribbean,8874724,2014,,,,8669594,,8669594,2000,8874724,2014,(Federal District) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-52,2883000,15312000,20142000,1.03293017776331,1.01380291018769,1,1485,1485,1485,,1485.49,2005,"Federal District, https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-ConapoZM-53",5838.11043771044,,5838.11043771044,224975.659176969,224975.659176969,2240,16,MMMX,113,487,5,2547,2582213000000,MXN     Mexican Peso,2014,INEGI,,,,,,,403.561,19239,[1],2014,255.1,12680.8172192673,"[3], [19]",,16813.599736192,,16813.599736192,40.0053281534844,3.7,0.54,0.74,43.33,3.9,2010,http://www3.inegi.org.mx/sistemas/mexicocifras/default.aspx?e=9,,76.308,0,Mountains,75,,"http://mexiconewsdaily.com/news/45-days-a-year-spent-commuting-in-cdmx/, citing research by the newspaper El Universal (cannot find original report) but in line with Instituto de Geografía 2008 report  http://www.ub.edu/geocrit/sn/sn-273.htm",1.02,1.03,3.4,2016,"INEGI, http://www.beta.inegi.org.mx/app/areasgeograficas/?ag=24#",,14,62,12.9,13.3%,1,0.66,0.07,96%,101%,38,138,29,81,56,33,71,154,73,83,62.22,87,RA,Mexico City Urban Area,958.25,1025.125,1061.75,1718.0625,1885.1875,2049.4375,0.358048621003713,0.352238805970149,0.341268406356094,0.641951378996287,0.647761194029851,0.658731593643906,1091.6189540695,8798.77629293368,1090.28353912532,10582.0358969681,1070.60092695138,10818.9758002786,2973000000,7800000000,0.38,0.0078818986,0.0231951974,0.0173584747,,1,1,1,,,,1,,0,1,1,1,1
188,Milano,Comune di Milano,,,Milano (Milan),Milan,,Administrative boundary of a local government,,,,2016,3728678,CDP,tCO2,2013,Other,CO2,"We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this",,"The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector",2248100,5976779,,A,,,,,,,0.9999998326858,,"(45.802578, 9.086356)",45.467,9.183333,https://en.wikipedia.org/wiki/Milan,Italy,Europe,1350680,2014,,,,3721428,2460000,,,1350000,2016,http://www.c40.org/cities/milan,,,,,,1,182,,,,182,2016,http://www.c40.org/cities/milan,2000,7664,,,,122,15.5,LIML,263,1649,2650,0,,,,,,,,,,,312.108,41147,[1],2014,358,44777.9862414009,[19],,38940.5989944521,24971.84,,108.356693237112,,1.63,1.57,54.73,1.95,2004,http://www.urbanaudit.org,,67.588,0,Mountains,26.7,2009,"TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)",2.01,2.14,1.8,2013,eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en],,137,33,5.6,9.0%,72,0.3,0.01,61%,54%,56,46,79,35,23,15,69,71,61,14,73.66,38,RA,Comune di Milano Urban Area,650.5,668.4375,675.3125,1338.0625,1395.5625,1478.625,0.327120721626803,0.323855377906977,0.313524649624235,0.672879278373197,0.676144622093023,0.686475350375765,831.378768429475,9446.75429577895,299.898277217983,3373.21327200111,307.961815050855,3413.2395707815,68000000,7800000000,0.01,0.0113831309,0.0151458624,0.0151130591,,,,1,,,,1,,,,1,1,1
189,Minneapolis,City of Minneapolis,,,Minneapolis,,Minneapolis ,Administrative boundary of a local government,,City ,2005,2016,2890572,CDP,tCO2-eq,2014,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,"A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector.",Increased,"Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).",1904136,4794708,,A,2483930.42092742,2688771.82124887,2586351.12108814,4388066.42092742,4592907.82124887,4490487.12108814,1,,"(44.983334, -93.26667)",44.983,-93.266667,https://en.wikipedia.org/wiki/Minneapolis,USA,North America,407207,2014,,,,378622.677957473,,387711,2005,413651,2016,https://www.census.gov/quickfacts/fact/table/minneapoliscityminnesota/PST045216,996000,2087000,2802000,1.01738847402413,1.01483931639487,1,139.8,151.3,151.3,,139.7817603,2010,"https://www.census.gov/quickfacts/fact/table/neworleanscitylouisiana,minneapoliscityminnesota,losangelescitycalifornia/PST045216",2502.46317222388,,2562.5313945803,30781.3142629966,31520.1778155537,264,7.9,KMSP,193,3512,1428,27,235700000000,USD     US Dollar,2014,http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels,,,,,,,211.398,60544,[1],2014,181,54948.3910139648,[19],,59580.9114286008,,59580.9114286008,157.362236594008,18.28,0.78,0.56,,2.53,2010,http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table,,80.731,0,,22.7,(2011-2015),,0.97,0.86,2.27,2011-2015,https://www.census.gov/quickfacts/fact/table/minneapoliscityminnesota/PST045216,,81,40,6.4,6.9%,166,0.16,0.01,27%,42%,,,,,,,,,,,,,,City of Minneapolis Urban Area,587.9375,582.375,577.875,1302.9375,1436.3125,1531,0.31093409135982,0.288491903774111,0.274020508564993,0.68906590864018,0.711508096225889,0.725979491435007,242.9631513267,1236.25317635553,321.661220859692,1367.29719445891,290.55508407483,1409.1338512913,42870000000,766200000000,0.06,0.0176989817,0.0367294791,0.0356646952,,1,1,1,,,,1,,0,1,1,1,1
